# Standard survey gate sample: all 30 PASS + 40 stratified FAIL of the 237-matchup survey
# deck1	deck2
survey_g000	survey_g001
survey_g010	survey_g011
survey_g012	survey_g013
survey_g014	survey_g015
survey_g016	survey_g017
survey_g018	survey_g019
survey_g020	survey_g021
survey_g026	survey_g027
survey_g032	survey_g033
survey_g034	survey_g035
survey_g036	survey_g037
survey_g046	survey_g047
survey_g056	survey_g057
survey_g066	survey_g067
survey_g076	survey_g077
survey_g086	survey_g087
survey_g096	survey_g097
survey_g106	survey_g107
survey_g114	survey_g115
survey_g116	survey_g117
survey_g122	survey_g123
survey_g124	survey_g125
survey_g126	survey_g127
survey_g136	survey_g137
survey_g146	survey_g147
survey_g156	survey_g157
survey_g166	survey_g167
survey_g170	survey_g171
survey_g176	survey_g177
survey_g178	survey_g179
survey_g184	survey_g185
survey_g194	survey_g195
survey_g204	survey_g205
survey_g214	survey_g215
survey_g226	survey_g227
survey_g236	survey_g237
survey_g242	survey_g243
survey_g248	survey_g249
survey_g258	survey_g259
survey_g266	survey_g267
survey_g270	survey_g271
survey_g282	survey_g283
survey_g292	survey_g293
survey_g302	survey_g303
survey_g314	survey_g315
survey_g316	survey_g317
survey_g330	survey_g331
survey_g340	survey_g341
survey_g346	survey_g347
survey_g352	survey_g353
survey_g354	survey_g355
survey_g364	survey_g365
survey_g366	survey_g367
survey_g368	survey_g369
survey_g378	survey_g379
survey_g380	survey_g381
survey_g390	survey_g391
survey_g400	survey_g401
survey_g404	survey_g405
survey_g412	survey_g413
survey_g422	survey_g423
survey_g424	survey_g425
survey_g434	survey_g435
survey_g436	survey_g437
survey_g446	survey_g447
survey_g448	survey_g449
survey_g458	survey_g459
survey_g460	survey_g461
survey_g466	survey_g467
survey_g472	survey_g473
